# source=PH
# page_name	cid	next_cid	ocr_txt	cmp_txt	next_ocr_txt	next_cmp_txt
PH_1_21	106	107	一	一	一	「
PH_1_23	3	4	一	一	一	「
PH_1_26	348	349	一	一	一	『
PH_1_42	307	308	一	一	一	『
PH_1_47	42	43	一	一	一	七
PH_1_60	135	136	一	一	一	〔
PH_1_60	149	150	一	一	一	〔
PH_1_60	366	367	一	一	一	〔
PH_1_60	380	381	一	一	一	〔
PH_1_64	175	176	一	一	一	〇
PH_1_64	239	240	一	一	一	〇
PH_1_71	121	122	一	一	一	『
PH_1_73	553	554	一	一	一	〇
PH_1_82	287	288	一	一	一	『
PH_1_87	140	141	一	一	一	〇
PH_1_89	304	305	一	一	一	■
PH_1_100	409	410	一	一	一	〇
PH_1_103	538	539	一	一	一	■
PH_1_112	40	41	一	一	一	八
PH_1_120	150	151	一	一	一	『
PH_1_132	629	630	一	一	一	』
PH_1_137	447	448	一	一	一	〇
PH_1_144	385	386	一	一	一	〕
PH_1_145	226	227	一	一	一	『
PH_1_155	573	574	一	一	一	『
PH_1_162	23	24	一	一	一	『
PH_1_165	40	41	一	一	一	〇
PH_1_166	176	177	一	一	一	二
PH_1_166	307	308	一	一	一	三
PH_1_175	210	211	一	一	一	「
PH_1_176	601	602	一	一	一	「
PH_1_177	5	6	一	一	一	「
PH_1_197	191	192	一	一	一	』
PH_1_199	487	488	一	一	一	〇
PH_1_209	402	403	一	一	一	二
PH_1_212	473	474	一	一	一	〕
PH_1_216	676	677	一	一	一	■
PH_1_225	94	95	一	一	一	■
PH_1_247	601	603	一	一	一	〇
PH_1_266	282	283	一	一	一	「
PH_1_268	567	568	一	一	一	〔
PH_1_283	638	639	一	一	一	』
PH_1_286	127	128	一	一	一	〇
PH_1_301	344	346	一	一	一	〇
PH_1_304	58	59	一	一	一	四
PH_1_306	40	41	一	一	一	七
PH_1_307	61	62	一	一	一	『
PH_1_374	581	582	一	一	一	日
PH_1_380	432	433	一	一	一	〕
PH_1_386	257	258	一	一	一	〕
PH_2_152	47	48	一	一	一	『
PH_2_163	387	388	一	一	一	『
PH_2_234	108	109	一	一	一	』
PH_2_254	170	171	一	一	一	日
PH_2_262	233	234	一	一	一	『
PH_2_333	372	373	一	一	一	日
PH_6_6	400	401	一	一	一	〔
PH_6_6	431	432	一	一	一	〔
PH_6_16	383	384	一	一	一	）
PH_6_17	141	142	一	一	一	三
PH_6_35	148	149	一	一	一	〔
PH_6_53	425	426	一	一	一	〕
PH_6_59	233	234	一	一	一	〕
PH_6_64	188	189	一	一	一	〔
PH_6_64	273	274	一	一	一	〔
PH_6_64	359	363	一	一	一	〔
PH_6_65	158	159	一	一	一	〔
PH_6_67	341	345	一	一	一	〔
PH_6_68	412	414	一	一	一	〔
PH_6_79	334	335	一	一	一	〔
PH_6_87	541	542	一	一	一	〔
PH_6_88	490	492	一	一	一	〕
PH_6_99	402	403	一	一	一	〔
PH_6_104	182	183	一	一	一	〔
PH_6_111	104	105	一	一	一	二
PH_6_113	384	385	一	一	一	〔
PH_6_114	449	450	一	一	一	〔
PH_6_125	351	352	一	一	一	〔
PH_6_139	271	275	一	一	一	〔
PH_6_142	353	354	一	一	一	〕
PH_6_146	446	448	一	一	一	〕
PH_6_152	24	25	一	一	一	〕
PH_6_166	594	595	一	一	一	〔
PH_6_166	603	604	一	一	一	〔
PH_6_205	411	412	一	一	一	〔
PH_6_212	474	475	一	一	一	」
PH_6_212	626	627	一	一	一	〔
PH_6_212	644	645	一	一	一	〔
PH_6_217	61	62	一	一	一	』
PH_6_217	109	110	一	一	一	〔
PH_6_217	597	598	一	一	一	』
PH_6_220	242	243	一	一	一	〇
PH_6_220	345	346	一	一	一	』
PH_6_220	350	351	一	一	一	〔
PH_6_222	651	652	一	一	一	』
PH_6_222	667	668	一	一	一	』
PH_6_223	43	44	一	一	一	』
PH_6_223	240	241	一	一	一	』
PH_6_224	481	482	一	一	一	〔
PH_6_225	593	594	一	一	一	』
PH_6_225	651	652	一	一	一	〔
PH_6_226	403	404	一	一	一	』
PH_6_226	581	582	一	一	一	』
PH_6_226	610	611	一	一	一	〔
PH_6_227	49	50	一	一	一	』
PH_6_228	219	220	一	一	一	〔
PH_6_228	259	260	一	一	一	〔
PH_6_228	639	640	一	一	一	』
PH_6_229	125	126	一	一	一	』
PH_6_240	641	642	一	一	一	『
PH_6_244	268	269	一	一	一	』
